1 Second Everyday: Video Diary,http://is3.mzstatic.com/image/thumb/Purple118/v4/a6/01/42/a6014212-841e-0a5b-a0b2-fa6fff357d00/source/175x175bb.jpg,Cesar Kuriyama,$4.99,Photo & Video,Version 1.70000.2,https://fnd.io/#/us/iphone-app/587823548-1-second-everyday-video-diary-by-cesar-ku,"Ever caught yourself forgetting life’s moments? Imagine a movie that includes everyday of the rest of your life. Let 1 Second Everyday help you remember your journey, your story. Get started with 1SE today!

2x winner of the “Best Use of a Mobile Camera” WEBBY Award.

Featured by Apple, BBC, TED, CNN, Fast Company and more! 

""For over 5 years, I've been recording 1 second every day, so I'll never forget another day ever again. This project has had such a positive impact on my life. This lead to the development of 1 Second Everyday; which makes it easy for anyone to do this too. Being able to relive every single day has provided me with a treasured perspective on life. It holds me accountable for making each day notable. When I turn 40, I'll have a 1 hour compilation that encapsulates my 30s. If I live to see 80 years of age, I'll have a 5-hour video that summarizes 50 years of my life.""
- Cesar Kuriyama, 1SE Founder

Why 1SE is awesome:
- AUTO-SNIPPETING: Shake and auto fill your days with ease! 

- INSTA-MASH: Create a video of your past year on Instagram with one tap!

- SHARING: Send your favorite second as a gif, Instagram loop or share your whole video with ease.

- FREESTYLE: Going on an adventure? Use any amount of seconds to tell your story of that quick trip to Spain or your wedding weekend.

- FLUX: Forgot to record? Go back in time and grab a video to use.

- SUPER SECONDS: Sometimes you need a little more time.

- DIARY: Take note of your day and leave a private message to yourself.

- MASHING: Make videos of any length from 7 days to even 3 years. You're in control.

- REMINDERS: Setup friendly creative reminders so you never forget a day!

- PRIVACY: Your seconds are stored on your phone. They are never shared with anyone unless you decide to do it.

Give 1 Second Everyday a try and start your own video diary today!

RECORD LESS, LIVE MORE.

We love your feedback and appreciate your reviews. Please send us any questions, ideas, or words of encouragement to support@1secondeveryday.com

Follow 1SE on:
- Instagram: @1_Second_Everyday
- Twitter: @1SecondEveryday
- Facebook: facebook.com/1SecondEveryday"
7 Minute Workout Challenge,http://is4.mzstatic.com/image/thumb/Purple128/v4/b2/78/a3/b278a3c8-bd8a-d45d-8ad9-45f434804206/source/175x175bb.jpg,Fitness Guide Inc,$2.99,Health & Fitness,Version 1.7,https://fnd.io/#/us/iphone-app/680170305-7-minute-workout-challenge-by-fitness-gui,"The ""7 Minute Workout"" is a research-backed workout program that has become an international hit! 

Published in the leading research journal ACSM, and then popularized by the NYT, the ""7 Minute Workout"" is simple but effective. 

Researchers have selected 12 exercises that are performed for 30 seconds with 10 second rest intervals. This high-intensity training with little rest results in higher daily metabolism and is the equivalent of working out for over an hour - for only slightly longer than 7 minutes. 

The best part? The exercises are simple to perform, do not require any equipment, and therefore, can be done anywhere! NO MORE EXCUSES. 

This app takes this research-proven workout and guides you through the process. Further, it tracks your results, and makes it fun by allowing you to unlock rewards as you continue working out. 

App features include: 

- stunning design 
- both male and female trainers that guide you by video, audio, image and text 
- all content is INCLUDED (no additional charges, and no need for internet connectivity) 
- track your weight with our weight tracker 
- track your activity with our activity calendar 
- workout and unlock various achievements 
- support for Apple Watch

We are dedicated fitness professionals and app developers. We strive to make the highest quality products - if you have any suggestions, feel free to contact us. Our apps are regularly updated at no charge."
8 Ball Pool™,http://is1.mzstatic.com/image/thumb/Purple118/v4/2f/11/1b/2f111bd5-797a-54be-f1a7-329a862b5159/source/175x175bb.jpg,Miniclip.com,Free,Games,Version 3.11.1,https://fnd.io/#/us/ios-universal-app/543186831-8-ball-pool-by-miniclipcom,"•The World's #1 Pool game - now on iOS!•

Play with friends! Play with Legends. Play the hit Miniclip 8 Ball Pool game on your mobile and become the best!

COMPETE 1-ON-1 OR IN 8 PLAYER TOURNAMENTS

Refine your skills in the practice arena, take on the world in 1-vs-1 matches, or enter tournaments to win trophies and exclusive cues! 

PLAY FOR POOL COINS AND EXCLUSIVE ITEMS

Customize your cue and table! In every competitive 1-vs-1 match you play, there’ll be Pool Coins at stake – win the match and the Coins are yours. You can use these to enter higher ranked matches with bigger stakes, or to buy new items in the Pool Shop.

CHALLENGE YOUR FRIENDS

Playing friends is easy: sign in with your Miniclip or Facebook account and you’ll be able to challenge your friends straight from the game. Challenge friends anytime, anywhere and show off your skills.

LEVEL UP

8 Ball Pool’s level system means you’re always facing a challenge. Play matches to increase your ranking and get access to more exclusive match locations, where you play against only the best Pool players.

iMessage PLAY

8 Ball Pool is now available for iMessage! Just add 8 Ball Pool to your iMessage app drawer to play with your friends.

--Download Pool by Miniclip NOW!--
*This game requires internet connection.

Play on the Web at miniclip.com/pool

Don’t miss out on the latest news:

Like 8 Ball Pool: on.fb.me/Wx4f23
Like Miniclip: facebook.com/miniclip

Follow us on Twitter: twitter.com/miniclip

------------------------------------

Find out more about Miniclip: miniclip.com

TERMS AND CONDITIONS: miniclip.com/terms-and-conditions

PRIVACY POLICY: miniclip.com/privacy

This game requires internet connection"
Afterlight,http://is5.mzstatic.com/image/thumb/Purple118/v4/15/5f/a9/155fa937-181a-1c63-e083-918baf0746bf/source/175x175bb.jpg,"Afterlight Collective, Inc",$0.99,Photo & Video,Version 3.4,https://fnd.io/#/us/ios-universal-app/573116090-afterlight-by-afterlight-collective-inc,"Afterlight is the perfect image editing app for quick and straight forward editing. Our simple design, paired with powerful and snappy tools, will give you the look you want in seconds.

15 ADJUSTMENT TOOLS
Use any of our 15 uniquely made adjustment tools to enhance your images to perfection with ease.


79 FILTERS
Afterlight has 31 fully adjustable Original Filters, 14 Guest Filters by various Instagram users, 18 Seasons filters, and the new Wander pack including 16 filters. Now including the new Fusion filters, allowing you to mix tools, filters and textures to create your own personal filters.


78 TEXTURES
Afterlight includes a range of real and natural light leaks we created with 35mm film and instant film, to simplistic scratchy film textures.


CROPPING & TRANSFORMING TOOLS
Crop your photos with our quick and easy cropping tool with 15 different presets.
Transform your photos with our rotating tool, vertical and horizontal flipping tools, and straightening. Now with the new Double Exposure tool.


FRAMES
We provide a list of 128 different simplistic and adjustable frames, paired perfectly with Instagram. Now including the new Wallpaper Pack.

Have any questions? Contact us!

afterlight.us
@afterlight
facebook.com/afterlightapp"
Amazon – Shopping made easy,http://is5.mzstatic.com/image/thumb/Purple128/v4/96/96/15/96961558-e37f-a4d2-9334-697cb1e793f1/source/175x175bb.jpg,AMZN Mobile LLC,Free,Shopping,Version 9.21.2,https://fnd.io/#/us/ios-universal-app/297606951-amazon-shopping-made-easy-by-amzn-mobile-,"Comprehensive 
You need toothpaste, golf clubs, and batteries - and you need them now. Known for its colossal shopping catalog, Amazon packs a variety of the features and functions into this ample app, whether you’re buying gifts, tracking orders, scanning products, or tap the mic icon and use Alexa to play music, shop, tell jokes, listen to eBooks and more. It’s easy to navigate, intuitive and extremely fast.

Browse, search, get product details, read reviews and purchase millions of products available from Amazon.com and other merchants. 

Convenient 
Sign in with your existing Amazon account to access your cart, payment and shipping options. Create or find a baby or wedding registry.  No need to create a new account to manage your 1-Click settings and wish lists, track your orders and use your Prime membership benefits. Shop just as you do on the web. 

Fast 
Compare prices and check availability instantly by scanning a barcode, snapping a picture or typing your search. 

Secure 
All purchases are routed through Amazon's secure servers. 

Universal 
Shop Amazon.ca, Amazon.co.uk, Amazon.de, Amazon.fr, Amazon.com, Amazon.it, Amazon.es, Amazon.cn, Amazon.co.jp or Amazon.in from a single app.

In order to provide a rich experience and enable features such as voice shopping, shipping notifications, visual search, customer reviews, treasure truck, locker delivery, fresh pickup, authentication and dash buttons this app may request permission to access location, contacts, camera, microphone, notification, touch id, photos and Bluetooth."
ARIMOJI by Ariana Grande,http://is2.mzstatic.com/image/thumb/Purple128/v4/62/eb/74/62eb748f-18f0-fc03-79db-9efccb2eb5e8/source/175x175bb.jpg,Bkstg Inc.,$1.99,Entertainment,Version 1.1,https://fnd.io/#/us/iphone-app/1215257106-arimoji-by-ariana-grande-by-bkstg-inc,"Ariana Grande has released her very own emoji keyboard, and it’s iconic. ARIMOJI gives you exclusive access to Ariana emojis, stickers, and GIFs for every m00d. The keyboard includes an iMessage extension so you can easily use ARIMOJIs as stickers. Greedy for more? New ARIMOJIs are added all the time. Get texting, and send that hood love / good love to everyone you know."
Assassin's Creed Identity,http://is3.mzstatic.com/image/thumb/Purple118/v4/ac/ca/b0/accab084-562b-4375-6a85-1f314596df28/source/175x175bb.jpg,Ubisoft,$3.99,Games,Version 2.8.6,https://fnd.io/#/us/ios-universal-app/880971164-assassins-creed-identity-by-ubisoft,"*Only works with iPad 3 and over, iPad Mini 2 and over, iPhone 5 and over, iPod 6. Requires an online connection to play.

Play now the first ACTION RPG game of the acclaimed ASSASSIN’S CREED Franchise. 
Explore the ITALIAN RENAISSANCE through the eyes of your OWN ASSASSIN, complete dozens of missions and unravel the epic mystery of The Crows.

WHAT THEY SAID ABOUT US:
• “the graphics look spectacular” cnet.com
• “a proper bonafide Assassin’s Creed game” pocketgamer
• “gorgeous graphics” phonearena.com


CREATE, EVOLVE AND CUSTOMIZE YOUR ASSASSIN!
- Pick a CLASS: Choose between Berserker, Shadow Blade, Trickster and Thief
- CUSTOMIZE your Assassins: Use loot, choose your outfits and weapons like epic swords and the iconic hidden blade.
- Make your Assassin EVOLVE from NOVICE to MASTER! 


TONS OF MISSIONS AND POSSIBILITIES!
- Experience the FREEDOM OF MOVEMENT: Run, jump, climb and feel the thrill of the leap of faith on your mobile screen!
- Achieve an infinity of QUESTS, unlock new locations and hundreds of items.
- PLAY HOW YOU WANT TO with simple tap-to-move, dual virtual stick controls or with a gamepad.



THE TECHNICAL EXCELLENCE OF THE ASSASSIN'S CREED GAMES!
- The Unity game engine brings STUNNING GRAPHICS through amazing custom-made HD textures, shaders, and models to your screen.
- Every place you visit in the ITALIAN RENAISSANCE will be an open map for you to explore: Santa Croce Area in Firenze, the Colosseum area in Roma etc. 


**ASSASSIN’S CREED** is one of the most popular franchise of all time. Its success has been built through years with famous titles such as Assassin’s Creed Syndicate, Assassin’s Creed Unity, Assassin’s Creed Black Flag etc. 

This game is available in: English, French, Italian, German, Spanish, Russian, Simplified Chinese,  Brazilian, Japanese and Korean. 

Are you a fan of ASSASSIN’S CREED IDENTITY? Like us on Facebook or follow us on Twitter to get the latest news:
facebook.com/AssassinsCreedIdentity 
twitter.com/acidentity"
AutoSleep. Auto Sleep Tracker for Watch,http://is5.mzstatic.com/image/thumb/Purple91/v4/90/ee/9f/90ee9f70-3349-2966-4d34-daeae5bdf5f9/source/175x175bb.jpg,Tantsissa,$2.99,Health & Fitness,Version 4.0.1,https://fnd.io/#/us/iphone-app/1164801111-autosleep-auto-sleep-tracker-for-watch-b,"Automatically track your sleep from your Apple Watch*. No buttons to press. No Watch app to load. Just sleep!

About AutoSleep
-----------------
Using Advanced Heuristics AutoSleep works out how long you've slept so you don't have to.

If you DO wear your Watch to bed, you don't need to do a single thing. AutoSleep will track your sleep & quality and send you a notification in the morning once you unlock your iPhone. 

Even if you don't wear your Watch to bed, AutoSleep can track your time in bed. It's extremely simple.

If you DON'T wear your Watch to bed, then simply put your Watch on charge just before you go to sleep. As soon as you touch your iPhone or put your Watch back on in the morning then AutoSleep will know that you have finished sleeping. 

A handy Today Widget lets you see how your own ""batteries"" are charged for last night and the previous seven days. A second (entirely optional) widget lets you also track the time you have taken to fall asleep.

As everyone is a little bit different. AutoSleep provides a simple setup wizard and an option to tweak if you are a very restless sleeper. 

If you wear your Apple Watch to bed*, AutoSleep will also analyse your sleep quality. By using time asleep, restlessness, time awake and heart rate it can score the quality of your sleep and provide you with a comprehensive nightly analysis. 
*Note. If you do not wear your Watch to bed, AutoSleep simply captures the amount of time sleeping. 

AutoSleep also works with HeartWatch our premier heart & activity monitoring app and writes your Sleep information to Apple Health. 

*Requires Apple Watch running Watch OS 3 or higher."
Baby Pics - Photo Editor,http://is5.mzstatic.com/image/thumb/Purple128/v4/ca/8f/91/ca8f912e-cf66-d780-5e1d-4865bc169874/source/175x175bb.jpg,Baby Pics,$2.99,Photo & Video,Version 2.4.1,https://fnd.io/#/us/ios-universal-app/965474816-baby-pics-photo-editor-by-baby-pics,"*‘A must have for new parents’ - Pregnancy & Newborn magazine*
*‘The perfect pregnancy app for an expecting Mommy’ - The Daily Dot*

Pregnancy Milestones | Baby Milestones | Big Kid Milestones 

Parents-to-be & new parents, Baby Pics app is made for you! Capture precious pregnancy & baby milestone photos by marking them with beautifully crafted artwork & personalized text. Share & treasure forever! Capture your baby bump growth week by week, first kick, first smile, first steps, messy moments or first day at school. Add adorable artwork & treasure the special moment forever. 

It’s simple
1) Snap the precious moment as it happens or select from camera roll
2) Add our adorable artwork 
3) Add text to personalize
4) Save & share! 

APP FEATURES (All swaddled up for you)

• MILESTONE ARTWORK 
500+ beautifully crafted artwork overlays to mark your little ones exciting milestones & special moments. 400 premium artwork overlays available to unlock

• PERSONALIZED TEXT 
Add sentimental text to personalize. Select from our adorable typography to write babies name, measurements, dates & quirks

• FILTERS 
Add gorgeous filters to highlight special moments 

• SHARE 
Share your precious Baby Pics with friends and family in seconds via social media, text or email 

• ORDER PRINTS 
Bring your Baby Pics to life at the touch of a button. Free delivery to your door. Baby Pics prints make an adorable keepsake & gift for grandparents

• TAKE THE CHALLENGE 
Join parents all over the world for 7 days of photo sharing fun with the Baby Pics Challenge 

• ACCESS EXTRAS 
Want more? Unlock over 400 additional premium artwork overlays 


10 ADORABLE ARTWORK CATEGORIES (Sneak peek)

DATES: 1 week, 2 months, 2 years, due dates, birthdays + many more
FIRSTS: First kick, first ultrasound, today I smiled for the first time, today I stood up, my first shoes + many more
PREGNANCY: Getting big, little belly vs big belly, overdue, twins, Mom & Dad are getting me a human + many more
HOLIDAYS: Santa Baby, happy holidays, too cute for the naughty list, happy Easter + many more
ANNOUNCEMENTS: Pregnancy announcements, birth announcements, gender reveals, the rumors are true, we’re pregnant, surprise!, due in July, any day now, she’s here! + many more
DAILY: Crazy kid, little man, chubby cheeks, fit mama, spoilt, kissy lips  + many more
HUMOR: Available to unlock – milk drunk, poop explosion, bun in the oven, eviction notice given, notorious b.u.b + many more
BIG KIDS: Don’t grow up, free range kid, story time, book worm, half wild – half child, no no no.. + many more 
FRIENDS & FAMILY: meet my pals, brotherly love, I’m going to be a grandma, I love Mom, family time + many more
DOODLES: Hearts, borders, banners, butterflies, squiggles + many more

Join the fun! Come hang out on Instagram with us. @BabyPicsApp #BabyPicsApp
Need help? Contact us at support@babypicsapp.com

We lovingly created Baby Pics app for you. Please help spread the word by leaving a quick review on the App Store. It really helps! 

The team at Baby Pics xx
babypicsapp.com"
Best Hunting Times,http://is4.mzstatic.com/image/thumb/Purple69/v4/5e/c7/88/5ec788e3-e339-ba80-b674-a6fa91d6130c/source/175x175bb.jpg,K SOLUTION LLC,$2.99,Weather,Version 4.2,https://fnd.io/#/us/iphone-app/467953363-best-hunting-times-by-k-solution-llc,"The #1 solunar table app for iPhone. Monthly view, weekly view, and daily view. Animated solar and lunar locations; Animated wind forecast. Determine Best Hunting Times for any date, any location.

Best Hunting Time is the only iPhone app with Animated solar and lunar locations for any second and Animated wind forecast..

If you like hunting, have this app handy and it will provide you with the location-specific information to maximize your chances success and know exactly when the best hunting times will occur!
+ Location: Auto GPS or Manual Entry or Select from Map
+ Major & Minor Feeding / Activity Periods
+ Day ratings 
+ Activity Index for the day rating
+ Weather condition / forecast (USA) 
+ Moon rise / Moon set / Moon Transit times 
+ Moon Phase Data 
+ Sunrise / Sunset / Sun Transit times 
+ Day / Weekly /Monthly view 
+ Date selection for checking Solunar data in advance 
+ Any Date / Location 
+ Check timezone settings. 
+ Current animal activity index as an icon badge right on your Home Screen 
+ Graphical sun and moon simulator 
+ Compass 
+ Hourly Wind forecast (USA) for scent control 
+ Build your own favorite location List
+ Click or swipe

This app is the perfect planning tool for outdoor activities. 

Click ""Simulate"" button on the Hunting Time page, see the cool new feature of graphical sun and moon simulator!

All information are calculated real time precisely based on the approved Solunar theory.

Q: Why there is a red circle on the icon?
A: This is a new feature we just added in the new version: app icon badge to indicate the daily animal activity index, which enables quick peek without launching the app.
For example, a red 4 mean today the animal activity index is 4 out of 6.
You can turn the badge on and off by going to Settings->Notification->Best Hunting Times.

Be sure to check our ""Hunting Call"" app."
